Topic Area,Type,Link,Quick Citation,Authors,Year,Full Citation
Trauma,Research,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(19)30145-8/fulltext,Bellis et al 2019,,2019,
Health,Research,https://journals.sagepub.com/doi/10.1177/00333549141291S206,Braveman and Gottlieb 2014,,2014,
Trauma,Research,https://www.ajpmonline.org/article/S0749-3797(98)00017-8/fulltext,Felitti et al 1998,,1998,
Trauma,Research,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(17)30118-4/fulltext,Hughes et al 2017,,2017,
Trauma,Research,https://www.cdc.gov/mmwr/volumes/68/wr/mm6844e1.htm?s_cid=mm6844e1_w,Merrick et al 2019,,2019,
Trauma,Research,https://www.academicpedsjnl.net/issue/S1876-2859(17)X0002-8,Academic Pediatrics 2017,,2017,
Housing,Action,https://www.urban.org/research/publication/micromortgage-marketplace-demonstration-project,McCargo et al 2020,,2020,
Housing,Research,https://www.urban.org/research/publication/why-housing-matters-upward-mobility-evidence-and-indicators-practitioners-and-policymakers,Ramakrishnan et al 2021,,2021,
Education,Action,https://www.nber.org/papers/w27834,Angrist et al 2020,,2020,
Criminal Justice,Action,https://counciloncj.foleon.com/taskforce/federal-priorities/recommendations/,Council on Criminal Justice 2020,,2020,
Segregation,Research,https://www.urban.org/sites/default/files/publication/103267/closing-the-gaps.pdf,McCargo and Choi 2020,,2020,
Social/Economic Mobility,Research,https://www.weforum.org/reports/global-social-mobility-index-2020-why-economies-benefit-from-fixing-inequality,World Economic Forum 2020,,2020,
Social/Economic Mobility,Research,https://www.wider.unu.edu/sites/default/files/Publications/Working-paper/PDF/wp-2019-106.pdf,Fields 2019,,2019,
Social/Economic Mobility,Research,https://inequality.stanford.edu/sites/default/files/SOTU_2015_economic-mobility.pdf,Chetty et al 2015 (2),,2015,
Social/Economic Mobility,Action,https://www.urban.org/sites/default/files/publication/80276/2000775-social-genome-model-analysis-of-the-bridgespan-groups-billion-dollar-bets-to-improve-social-mobility_1.pdf,Blumenthal et al 2016,,2016,
Social/Economic Mobility,Research,https://scholar.harvard.edu/hendren/publications/unified-welfare-analysis-government-policies,Hendren and Sprung-Keyser 2020,,2020,
Social/Economic Mobility,Action,https://www.bridgespan.org/bridgespan/Images/articles/billion-dollar-bets-to-create-economic-opportunity/bridgespan-social-mobility-2016-report.pdf,Bielak 2016,,2016,
Social/Economic Mobility,Research,https://www.pewtrusts.org/~/media/assets/2015/07/fsm-irs-report_artfinal.pdf,Mitnik et al 2015,,2015,
Housing,Action,https://www.urban.org/sites/default/files/publication/100204/building_black_ownership_bridges_1.pdf,McCargo et al 2019,,2019,
Neighborhoods,Research,https://www.jstor.org/stable/1519799?seq=1,Browning and Cagney 2003,,2003,
Trauma,Action,https://www.academicpedsjnl.net/article/S1876-2859(17)30354-6/pdf,Bethell et al 2017,,2017,
Financial Empowerment,Action,https://www.mobilitypartnership.org/opening-mobility-pathways-closing-financial-services-gap,Bynum et al 2018,,2018,
Neighborhoods,Research,https://opportunityinsights.org/paper/newmto/,Chetty et al 2015 (1),,2015,
Neighborhoods,Research,https://opportunityinsights.org/paper/gendergaps/,Chetty et al 2016,,2016,
Neighborhoods,Research,https://opportunityinsights.org/paper/neighborhoodsi/,Chetty and Hendren 2017 (1),,2017,
Neighborhoods,Research,https://opportunityinsights.org/paper/neighborhoodsii/,Chetty and Hendren 2017 (2),,2017,
Neighborhoods,Research,https://opportunityinsights.org/paper/cmto/,Bergman et al 2019,,2019,
Social Infrastructure,Research,https://www.urban.org/sites/default/files/publication/102669/civic-assets-for-more-equitable-cities_1.pdf,Gaynair et al 2020,,2020,
Education,Research,https://opportunityinsights.org/paper/teachersii/,Chetty et al 2014 (2),,2014,
Education,Research,https://opportunityinsights.org/paper/teachersi/,Chetty et al 2014 (1),,2014,
Education,Research,https://opportunityinsights.org/paper/kindergarten/,Chetty et al 2011,,2011,
Education,Research,https://opportunityinsights.org/paper/mobilityreportcards/,Chetty et al 2017,,2017,
Income Inequality,Research,https://equitablegrowth.org/working-papers/the-decline-in-lifetime-earnings-mobility-in-the-u-s-evidence-from-survey-linked-administrative-data/,Carr and Wiemers 2016,,2016,
Income Inequality,Research,https://www.brookings.edu/blog/social-mobility-memos/2018/06/05/seven-reasons-to-worry-about-the-american-middle-class/,Krause and Sawhill 2018,,2018,
Social/Economic Mobility,Research,https://equitablegrowth.org/research-paper/are-todays-inequalities-limiting-tomorrows-opportunities/?longform=true,Jacobs and Hipple 2018,,2018,
Education,Action,https://jamanetwork.com/journals/jamapediatrics/fullarticle/2668645,Reynolds et al 2018,,2018,
Education,Research,https://www.newamerica.org/education-policy/edcentral/new-results-chicago-child-parent-centers/,Ford 2018,,2018,
Education,Research,https://www.brookings.edu/wp-content/uploads/2016/06/improve_child_life_chances_interventions_sawhill.pdf,Sawhill and Karpilow 2014,,2014,
Education,Research,https://www.journals.uchicago.edu/doi/full/10.1086/705718,Garcia et al 2020,,2020,
Trauma,Research,https://www.urban.org/sites/default/files/publication/32706/412899-The-Negative-Effects-of-Instability-on-Child-Development-A-Research-Synthesis.PDF,Sandstrom and Huerta 2013,,2013,
Social/Economic Mobility,Research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5952604/,Robertson and O'Brien 2018,,2018,
